qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,x,y,z
4439756886,-905,-78,346
4444756886,-901,-77,356
4449756886,-897,-74,362
4454756886,-902,-73,360
4459756886,-903,-72,356
4464756886,-902,-65,359
4469756886,-907,-68,364
4474756886,-900,-67,358
4479756886,-906,-69,355
4484756886,-901,-64,356
4489756886,-902,-68,363
4492188564,-905,-67,354
4497188564,-904,-73,358
4502188564,-904,-74,365
4507188564,-901,-73,370
4512188564,-910,-75,371
4517188564,-905,-73,368
4522188564,-907,-76,375
4527188564,-907,-71,368
4532188564,-908,-68,367
4537188564,-908,-73,365
4542188564,-907,-70,362
4547188564,-906,-70,358
4552188564,-903,-72,360
4557188564,-903,-68,362
4562188564,-907,-69,357
4567188564,-905,-69,357
4572188564,-905,-73,363
4577188564,-901,-71,367
4582188564,-908,-68,363
4587188564,-908,-73,362
4592188564,-907,-74,360
4597188564,-905,-77,353
4602188564,-907,-74,354
4607188564,-906,-70,353
4612188564,-905,-70,359
4617188564,-907,-71,358
4622188564,-904,-73,363
4627188564,-909,-70,360
4632188564,-906,-69,361
4637188564,-904,-72,355
4642188564,-902,-72,360
4647188564,-904,-71,358
4652188564,-901,-72,359
4657188564,-904,-70,355
4662188564,-903,-72,361
4667188564,-906,-73,361
4669620216,-906,-69,355
4674620216,-906,-69,363
4679620216,-903,-68,361
4684620216,-907,-71,361
4689620216,-907,-69,365
4694620216,-906,-73,360
4699620216,-906,-71,364
4704620216,-908,-70,367
4709620216,-907,-76,365
4714620216,-907,-80,367
4719620216,-905,-74,360
4724620216,-904,-75,358
4729620216,-906,-73,358
4734620216,-907,-74,357
4739620216,-904,-71,357
4744620216,-906,-70,356
4749620216,-906,-73,363
4754620216,-907,-71,361
4759620216,-906,-71,359
4764620216,-905,-73,359
4769620216,-907,-68,355
4774620216,-906,-73,357
4779620216,-904,-73,363
4784620216,-904,-76,357
4789620216,-903,-75,356
4794620216,-906,-74,359
4799620216,-907,-73,358
4804620216,-907,-76,355
4809620216,-904,-68,355
4814620216,-907,-71,355
4819620216,-905,-73,352
4824620216,-908,-72,359
4829620216,-907,-71,356
4834620216,-905,-72,355
4839620216,-908,-69,356
4844620216,-908,-68,356
4847051868,-905,-72,354
4852051868,-906,-73,358
4857051868,-903,-70,360
4862051868,-906,-72,363
4867051868,-904,-70,354
4872051868,-908,-73,360
4877051868,-904,-72,363
4882051868,-908,-74,356
4887051868,-907,-71,361
4892051868,-909,-73,364
4897051868,-911,-73,361
4902051868,-904,-71,359
4907051868,-908,-71,357
4912051868,-909,-72,358
4917051868,-907,-72,356
4922051868,-909,-74,358
4927051868,-907,-72,355
4932051868,-908,-74,360
4937051868,-908,-68,358
4942051868,-905,-75,354
4947051868,-906,-71,361
4952051868,-905,-72,358
4957051868,-901,-74,359
4962051868,-905,-70,358
4967051868,-904,-73,360
4972051868,-905,-72,358
4977051868,-906,-73,364
4982051868,-908,-74,362
4987051868,-907,-68,362
4992051868,-905,-77,357
4997051868,-906,-68,357
5002051868,-909,-73,359
5007051868,-907,-73,350
5012051868,-910,-70,350
5017051868,-907,-70,359
5022051868,-907,-71,354
5024483520,-906,-70,359
5029483520,-903,-72,359
5034483520,-907,-70,360
5039483520,-905,-70,357
5044483520,-907,-72,362
5049483520,-908,-72,365
5054483520,-912,-74,358
5059483520,-913,-70,361
5064483520,-909,-73,356
5069483520,-904,-71,357
5074483520,-900,-77,355
5079483520,-901,-78,365
5084483520,-897,-79,372
5089483520,-903,-73,378
5094483520,-910,-63,378
5099483520,-922,-59,364
5104483520,-927,-71,313
5109483520,-924,-79,285
5114483520,-906,-70,311
5119483520,-895,-69,352
5124483520,-894,-67,358
5129483520,-897,-73,342
5134483520,-904,-76,353
5139483520,-902,-83,383
5144483520,-898,-82,376
5149483520,-898,-81,374
5154483520,-900,-79,375
5159483520,-904,-70,395
5164483520,-907,-64,385
5169483520,-914,-64,356
5174483520,-916,-68,337
5179483520,-911,-65,337
5184483520,-905,-71,332
5189483520,-898,-73,333
5194483520,-890,-75,341
5199483520,-892,-73,352
5201854116,-900,-73,361
5206854116,-902,-72,361
5211854116,-903,-66,364
5216854116,-904,-69,366
5221854116,-903,-68,367
5226854116,-907,-65,372
5231854116,-910,-66,370
5236854116,-918,-66,377
5241854116,-919,-71,371
5246854116,-916,-74,375
5251854116,-914,-73,377
5256854116,-917,-75,374
5261854116,-913,-72,370
5266854116,-911,-68,372
5271854116,-910,-73,366
5276854116,-907,-76,358
5281854116,-903,-67,352
5286854116,-900,-65,346
5291854116,-905,-65,349
5296854116,-900,-67,340
5301854116,-899,-63,340
5306854116,-900,-63,345
5311854116,-900,-67,345
5316854116,-900,-70,347
5321854116,-900,-71,355
