qewr,qerwr,asdfsa,2022-07-08 00:36:54.570416979 UTC,adsfasfdsafawefewa
time,val
9206263829,-184
9213956136,60
9221648443,-291
9229340750,-284
9237033057,-114
9244725364,-191
9252417671,-231
9260109978,-151
9267802285,-114
9275494592,-109
9283186899,-91
9290879206,-79
9298571513,-70
9306263820,-58
9313956127,-51
9321648434,-46
9329340741,-32
9337033048,-16
9344725355,-4
9352417662,7
9360109969,30
9367802276,63
9375494583,91
9383186890,95
9390879197,88
9398571504,81
9406263811,74
9413956118,53
9421648425,16
9429340732,-28
9437033039,-67
9444725346,-81
9452417653,-79
9460109960,-112
9467802267,-165
9475494574,-161
9483186881,-144
9490879188,-165
9498571495,-172
9506263802,-154
9513956109,-140
9521648416,-135
9529340723,-130
9537033030,-135
9544626572,-144
9552318879,-130
9560011186,-109
9567703493,-114
9575395800,-133
9583088107,-137
9590780414,-109
9598472721,-65
9606165028,-51
9613857335,-81
9621549642,-126
9629241949,-133
9636934256,-119
9644626563,-119
9652318870,-121
9660011177,-116
9667703484,-112
9675395791,-107
9683088098,-107
9690780405,-130
9698472712,-144
9706165019,-126
9713857326,-112
9721549633,-114
9729241940,-107
9736934247,-93
9744626554,-81
9752318861,-77
9760011168,-81
9767703475,-79
9775395782,-60
9783088089,-37
9790780396,-21
9798472703,-4
9806165010,-7
9813857317,-28
9821549624,-28
9829241931,-14
9836934238,-18
9844626545,-35
9852318852,-21
9860011159,37
9867703466,119
9875395773,137
9883088080,84
9890780387,44
9898472694,72
9906165001,224
9913857308,516
9921549615,973
9929241922,1599
9936934229,1744
9944626536,642
9952318843,-520
9960011150,-287
9967703457,114
9975395764,-191
9983088071,-277
9990780378,-98
9998472685,-121
10006164992,-144
10013857299,-63
10021549606,-44
10029241913,-56
10036934220,-28
10044626527,0
10052318834,7
10060011141,2
10067703448,-11
10075395755,-14
10083088062,7
10090780369,25
10098472676,39
10106096736,30
10113789043,-2
10121481350,18
10129173657,88
10136865964,144
10144558271,179
10152250578,214
10159942885,268
10167635192,287
10175327499,226
10183019806,170
10190712113,137
10198404420,39
10206096727,-79
10213789034,-130
10221481341,-154
10229173648,-175
10236865955,-175
10244558262,-177
10252250569,-200
10259942876,-224
10267635183,-210
10275327490,-189
10283019797,-179
10290712104,-170
10298404411,-168
10306096718,-172
10313789025,-161
10321481332,-147
10329173639,-151
10336865946,-156
10344558253,-147
10352250560,-144
10359942867,-154
10367635174,-156
10375327481,-147
10383019788,-135
10390712095,-135
10398404402,-165
10406096709,-210
10413789016,-210
10421481323,-191
10429173630,-207
10436865937,-210
10444558244,-175
10452250551,-161
10459942858,-172
10467635165,-161
10475327472,-133
10483019779,-123
10490712086,-116
10498404393,-105
10506096700,-95
10513789007,-95
10521481314,-95
10529173621,-93
10536865928,-91
10544558235,-91
10552250542,-88
10559942849,-72
10567635156,-46
10575327463,-30
10583019770,-46
10590712077,-93
10598404384,-109
10606096691,-88
10613788998,-100
10621481305,-130
10629173612,-128
10636865919,-109
10644558226,-100
10652250533,-91
10659942840,-81
10667536382,-74
10675228689,-9
10682920996,219
10690613303,653
10698305610,1265
10705997917,1733
10713690224,1181
10721382531,-158
10729074838,-548
10736767145,-42
10744459452,-88
10752151759,-350
10759844066,-207
10767536373,-137
10775228680,-242
10782920987,-233
10790613294,-175
10798305601,-177
10805997908,-163
10813690215,-128
10821382522,-119
10829074829,-100
10836767136,-65
10844459443,-42
10852151750,-28
10859844057,-7
10867536364,18
10875228671,49
10882920978,74
10890613285,95
10898305592,116
10905997899,137
10913690206,149
10921382513,154
10929074820,151
10936767127,126
10944459434,100
10952151741,81
10959844048,32
10967536355,-51
10975228662,-107
10982920969,-123
10990613276,-142
10998305583,-163
11005997890,-175
11013690197,-168
11021382504,-156
11029074811,-144
11036767118,-137
11044459425,-135
11052151732,-126
11059844039,-107
11067536346,-93
11075228653,-86
11082920960,-79
11090613267,-70
11098305574,-65
11105997881,-65
11113690188,-84
11121382495,-105
11129074802,-95
11136767109,-84
11144459416,-84
11152151723,-79
11159844030,-70
11167536337,-60
11175228644,-51
11182920951,-67
11190613258,-95
11198305565,-91
11205997872,-65
11213690179,-56
11221382486,-58
11228976028,-53
11236668335,-49
11244360642,-44
11252052949,-56
11259745256,-77
11267437563,-79
11275129870,-77
11282822177,-88
11290514484,-98
11298206791,-112
11305899098,-158
11313591405,-186
11321283712,-168
11328976019,-165
11336668326,-191
11344360633,-207
11352052940,-193
11359745247,-172
11367437554,-168
11375129861,-156
11382822168,-126
11390514475,-121
11398206782,-142
11405899089,-142
11413591396,-130
11421283703,-128
11428976010,-119
11436668317,-119
11444360624,-137
11452052931,-140
11459745238,-121
11467437545,-119
11475129852,-114
11482822159,-14
11490514466,240
11498206773,644
11505899080,1198
11513591387,1548
11521283694,861
11528976001,-408
11536668308,-583
11544360615,-49
11552052922,-140
11559745229,-355
11567437536,-205
11575129843,-151
11582822150,-212
11590514457,-156
11598206764,-109
11605899071,-116
11613591378,-35
11621283685,79
11628975992,77
11636668299,18
11644360606,0
11652052913,51
11659745220,114
11667437527,121
11675129834,121
11682822141,154
11690514448,186
11698206755,203
11705899062,224
11713591369,240
11721283676,245
11728975983,247
11736668290,205
11744360597,105
11752052904,67
11759745211,123
11767437518,172
11775129825,158
11782822132,93
11790415674,25
11798107981,-11
11805800288,-14
11813492595,0
11821184902,-7
11828877209,-37
11836569516,-63
